date,time_start,time_end,box,brood,session,temperature_F,weather,female_band,egg_num,chick_num,chick_age,min_interact,total_mw,cat_host,cat_weight,cat_age,cat_location,cat_eaten,cup_mw,order_eaten,eaten_after,notes
7/17/24,11:02,11:47,71,1,1,81,cloudy,NA,0,2,7,NA,9,INC,0.122,9,R,N,0,NA,NA,"WRENS DIDN'T EAT ANYTHIING, ONLY CATBIRD. CATBIRD PICKED UP SYR CAT AND DROPPED IT ON THE LID"
7/24/24,9:58,10:43,33,2,1,73,cloudy,NA,0,7,9,1,15,CUR,0.0405,11,L,N,5,NA,NA,
7/24/24,9:58,10:43,33,2,1,73,cloudy,NA,0,7,9,1,15,SYR,0.0736,11,M,N,5,NA,NA,
7/24/24,9:58,10:43,33,2,1,73,cloudy,NA,0,7,9,1,15,INC,0.1088,11,R,N,5,NA,NA,
7/26/24,10:13,10:58,33,2,2,63,"sunny, windy",NA,0,7,11,1,15,CUR,0.0204,13,L,N,5,NA,NA,
7/26/24,10:13,10:58,33,2,2,63,"sunny, windy",NA,0,7,11,1,15,SYR,0.0937,13,M,Y,5,1,NA,
7/26/24,10:13,10:58,33,2,2,63,"sunny, windy",NA,0,7,11,1,15,INC,0.0569,13,R,N,5,NA,NA,
7/31/24,10:01,10:46,40,2,1,75,sunny,NA,0,5,8,11,15,INC,0.1015,9,L,N,5,NA,NA,ONLY DID ONE VISIT
7/31/24,10:01,10:46,40,2,1,75,sunny,NA,0,5,8,11,15,CUR,0.0893,9,M,N,5,NA,NA,ONLY DID ONE VISIT
7/31/24,10:01,10:46,40,2,1,75,sunny,NA,0,5,8,11,15,SYR,0.1059,9,R,N,5,NA,NA,ONLY DID ONE VISIT
6/28/24,9:28,10:13,19,1,2,64,"sunny, windy",NA,0,6,8,1,15,SYR,0.19269,11,L,N,5,NA,NA,
6/28/24,9:28,10:13,19,1,2,64,"sunny, windy",NA,0,6,8,1,15,CUR,0.2814,11,M,N,5,NA,NA,
6/28/24,9:28,10:13,19,1,2,64,"sunny, windy",NA,0,6,8,1,15,INC,0.0917,11,R,N,5,NA,NA,
6/26/24,10:59,11:44,47,1,1,80,cloudy,NA,0,6,10,NA,0,SYR,0.31903,9,R,N,0,NA,NA,ONLY OFFERED 14 MW (4 AT SYR)
6/26/24,10:59,11:44,47,1,1,80,cloudy,NA,0,6,10,NA,0,INC,0.2493,9,L,N,0,NA,NA,ONLY OFFERED 14 MW (4 AT SYR)
6/26/24,10:59,11:44,47,1,1,80,cloudy,NA,0,6,10,NA,0,CUR,0.24819,9,M,N,0,NA,NA,ONLY OFFERED 14 MW (4 AT SYR)
6/26/24,9:53,10:44,19,1,1,78,cloudy,NA,0,6,6,1,15,SYR,0.31458,9,L,Y,5,3,CUR,
6/26/24,9:53,10:44,19,1,1,78,cloudy,NA,0,6,6,1,15,CUR,0.24329,9,M,Y,5,2,INC,
6/26/24,9:53,10:44,19,1,1,78,cloudy,NA,0,6,6,1,15,INC,0.30144,9,R,Y,5,1,NA,
